dv,model,condition,estimate,std.error,statistic,p.value,conf.low,conf.high
Preferred: Economic sanctions,No controls,Infrastructure — tens of thousands,6.312384108569686e-5,0.007911471117109386,0.007978774130791545,0.9936345654979517,-0.015450609572767523,0.015576857254938918
Preferred: Economic sanctions,With controls,Killing — hundreds,-0.0028883814973691075,0.007518097176558404,-0.38419049787958925,0.7008702778672264,-0.017630793623306353,0.01185403062856814
Preferred: Economic sanctions,With controls,Killing — tens of thousands,-1.2440472627061033e-5,0.007983353037042385,-0.0015583017022218384,0.9987567812688836,-0.015667183668272865,0.015642302723018742
Preferred: Economic sanctions,With controls,Sexual violence — hundreds,0.00833503246681285,0.009337889130652095,0.8926034942364739,0.3721563581199583,-0.009975852151654098,0.026645917085279795
Preferred: Economic sanctions,With controls,Sexual violence — tens of thousands,-7.15918591190463e-4,0.007912913147321841,-0.09047471871124589,0.9279173070951361,-0.01623253456395283,0.014800697381571902
Preferred: Economic sanctions,With controls,Infrastructure — hundreds,0.0051164052654201,0.008794328251843182,0.5817846592601049,0.5607647444020885,-0.012128598146306985,0.022361408677147185
Preferred: Economic sanctions,With controls,Infrastructure — tens of thousands,4.0924738857818586e-5,0.00795603092284047,0.005143863724854352,0.9958962233688022,-0.015560241885714593,0.01564209136343023
Preferred: Humanitarian,No controls,Killing — hundreds,-0.024765713650899558,0.016658755784090703,-1.4866484611384416,0.13723418533027146,-0.05743214097084086,0.007900713669041742
Preferred: Humanitarian,No controls,Killing — tens of thousands,-0.01626713008149447,0.01730715398418948,-0.939907861012556,0.34735591892443063,-0.05020501206182135,0.01767075189883241
Preferred: Humanitarian,No controls,Sexual violence — hundreds,3.62962086242688e-4,0.01845192400926718,0.019670690496036956,0.9843076466085469,-0.03581971820356906,0.036545642376054434
